dataset_index,data_uuid,data_name,view_count,download_count,description,update_frequency,data_owner,data_page_url,data_category,asset_type,view_type,size_in_bytes,readable_size,latest_update_time
1220,dfv3-jzjw,"Pupil Transportation Count of Employees Bus Company - July 1, - December 31,",218,34,"Students are reported as those who were planned and routed, but may or may not have used the service provided.  Student stop assignment is done at the school, OPT creates the routes.  Routes were determined by those routed with students assigned Vehicles are identified by school bus company reported data. This data is subject to data entry error and is dependent on the school bus companies to maintain. All transportation sites were included, and reported by type. A transportation site was defined by a unique location identified by a street address. Please note multiple students or schools can be located in the same address and would there for represent multiple stops at the same site.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/Pupil-Transportation-Count-of-Employees-Bus-Compan/dfv3-jzjw,Education,dataset,tabular,18406.0,18.41 KB,2021-01-29
1222,dg7a-jiz2,Lost Property Contact Information,6308,18430,"This list contains lost item contact information on  bases that are affiliated with TLC SHL/Boro and Yellow Medallion Taxicabs. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",Daily,Taxi and Limousine Commission (TLC),https://data.cityofnewyork.us/Transportation/Lost-Property-Contact-Information/dg7a-jiz2,Transportation,dataset,tabular,1556375.0,1.56 MB,2021-12-16
1223,dg92-zbpx,City Record Online,136984,20574,"The City Record Online (CROL) is now a fully searchable database of notices published in the City Record newspaper which includes but is not limited to: public hearings and meetings, public auctions and sales, solicitations and awards and official rules proposed and adopted by city agencies.",Daily,Department of Citywide Administrative Services (DCAS),https://data.cityofnewyork.us/City-Government/City-Record-Online/dg92-zbpx,City Government,dataset,tabular,301648150.0,301.65 MB,2021-12-16
1224,dgg9-jkx8,NYC Health + Hospitals WTC 9/11 Health Center - patient categories –,1930,2368,"The NYC Health + Hospitals World Trade Center (WTC) Environmental Health Center program, one of three Centers of Excellence in New York City, provides medical and mental healthcare to residents, students, workers, and passersby who may still be sick from 9/11. This data shows the categories of the patient population enrolled in the program from 2008 to 2011.",One-time,NYC Health + Hospitals,https://data.cityofnewyork.us/Health/NYC-Health-Hospitals-WTC-9-11-Health-Center-patien/dgg9-jkx8,Health,dataset,tabular,221.0,221 bytes,2011-09-30
1225,dggd-3jfu,Resident Economic Empowerment and Sustainability  for NYCHA Residents – NYCHA Development - Local Law 163,293,624,"This dataset contains information about the New York City Housing Authority’s (NYCHA) Office of <a href=""https://www1.nyc.gov/site/nycha/residents/rees.page"">Resident Economic Empowerment and Sustainability (REES)</a>. REES supports NYCHA public housing and Section 8 residents’ increased income and assets through programs, policies and formal partnerships in the areas of employment and advancement, adult education and training, financial literacy and asset building and resident business development.   Each row in the dataset represents the number of public housing residents on a NYCHA Development-level who receive or utilize this service. Data on interagency collaborations such as Jobs-Plus and Business Pathways are not part of this data but are accounted for in NYC Business Solutions and Human Resources data respectively. As per HUD regulations REES serves NYCHA public housing, NYCHA Section 8 and Section 3 residents.  The dataset is part of the annual report compiled by the Mayor’s Office of Operations as mandated by the <a href=""https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2745761&GUID=2A9FB1D2-A1A8-4484-9D49-6F8332171B66"">Local Law 163 of 2016</a> on different services provided to NYCHA residents. See other datasets in this report by searching the keyword “Services available to NYCHA Residents - Local Law 163 (2016)” on the Open Data Portal.",Annually,NYC Housing Authority (NYCHA),https://data.cityofnewyork.us/Social-Services/Resident-Economic-Empowerment-and-Sustainability-R/dggd-3jfu,Social Services,dataset,tabular,47520.0,47.52 KB,2021-12-03
1226,dhgx-p2ue,Local Law 14 Health Data - HS City Council District,115,177,"Local Law 14 (2016) requires that the NYCDOE provide citywide Health Education data, disaggregated by community school district, city council district, and each individual school for 2015- 16 school year. This reports information about the number and percent of students receiving one semester of health education as defined in Local Law 14 as reported through the 2015-2016 STARS database.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2015-2016-Local-Law-14-Health-Data-HS-City-Council/dhgx-p2ue,Education,dataset,tabular,2185.0,2.19 KB,2019-04-02
1227,dhs7-q59e,DYCD after-school programs: Family Support  Programs for Seniors,720,2338,"Facilities in New York City, by agency and site, that offer after-school Family Support Programs for seniors and older adults.Submitted by the Department of Youth and Community Development (DYCD).",One-time,Department of Youth and Community Development (DYCD),https://data.cityofnewyork.us/Social-Services/DYCD-after-school-programs-Family-Support-Programs/dhs7-q59e,Social Services,dataset,tabular,164853.0,164.85 KB,2017-09-16
1229,di8r-g5w9,Graduation Outcomes - Borough  - Total Cohort,567,1767,Latest available data and trends in graduation and dropout outcomes disaggregated by borough.,One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2005-2011-Graduation-Outcomes-Borough-Total-Cohort/di8r-g5w9,Education,dataset,tabular,18417.0,18.42 KB,2013-02-21
1230,did2-qzw3,CEQR Project Locations,1393,2608,"CEQR Open Data contains information on projects that are undergoing or have completed review through the City Environmental Quality Review (CEQR) process. Project information available at the Open Data Portal includes the CEQR Number, Project Name, the Project Description, the Lead Agency, project milestones, and geographical locations. CEQR Open Data contains information on CEQR projects, which were filed with the Mayor’s Office from January 1, 2005 to the present.  For associated documents, please follow the links to the CEQR Access Database.",One-time,Mayor's Office of Environmental Remediation (MOER),https://data.cityofnewyork.us/City-Government/CEQR-Project-Locations/did2-qzw3,City Government,dataset,tabular,2121841.0,2.12 MB,2021-12-16
1238,djyq-adqm,NYC Parks Ice Skating Rinks,225,126,"Each record in this dataset is an individual ice skating rink.  The data was created using desktop GIS software.  In addition to the geometry for each ice skating rink, the dataset includes several descriptive attributes. The dataset is updated as needed.  User guide:  https://drive.google.com/open?id=1r6NHMqCEn5NZuHv7FdyGRUuA7XFKlimP__RXuyOQhFA Data Dictionary: https://drive.google.com/open?id=1fMoGzTfCdv5zopjGei6tvxHFmaH6aT2q-b9Braucn5A",One-time,Department of Parks and Recreation (DPR),https://data.cityofnewyork.us/Recreation/NYC-Parks-Ice-Skating-Rinks/djyq-adqm,Recreation,map,geo,22698.0,22.7 KB,2019-04-24
1239,djze-f4qi,Atomic Polygons,1387,599,"Atomic polygons serve as a set of basic building blocks for generating the polygons of many of the district types represented in the CSCL database. Feature classes such as election district, school district, census block, FDNY administrative company, and community district can be dissolved by combining the appropriate fields in atomic polygons.  All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>",One-time,Department of City Planning (DCP),https://data.cityofnewyork.us/City-Government/Atomic-Polygons/djze-f4qi,City Government,map,geo,79412128.0,79.41 MB,2021-11-23
1240,dm9a-ab7w,DOB NOW: Electrical Permit Applications,4964,2520,"This dataset is part of the DOB NOW Electrical Permit Data Collection: https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=DOB+NOW+Electrical+Permits+Data This dataset contains general information about the job filing, including location, applicant, type of work and fee information. Each instance of electrical work might have one row/record for the Initial application, as well as one or more Post Approval Amendment or Subsequent Filing. (See Filing_Type field.)",Daily,Department of Buildings (DOB),https://data.cityofnewyork.us/City-Government/DOB-NOW-Electrical-Permit-Applications/dm9a-ab7w,City Government,dataset,tabular,0.0,0 bytes,2021-12-15
1243,dp2s-vccd,November Pct Class Size City K8  - Open Data Portal,147,513,Class Size K8 - City Aggregation,One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-November2017-Pct-Class-Size-City-K8-Open/dp2s-vccd,Education,dataset,tabular,7353.0,7.35 KB,2017-11-28
1245,dpec-ucu7,TLC New Driver Application Status,1699601,35485,"THIS DATASET IS UPDATED SEVERAL TIMES PER DAY. TLC Driver application status check for applicants who had applied for a new TLC driver’s license. For more information and to upload missing requirements, visit www.nyc.gov/tlcup  For historical/archived data of past application statuses, please see- https://data.cityofnewyork.us/Transportation/Historical-Driver-Application-Status/p32s-yqxq",Daily,Taxi and Limousine Commission (TLC),https://data.cityofnewyork.us/Transportation/TLC-New-Driver-Application-Status/dpec-ucu7,Transportation,dataset,tabular,986307.0,986.31 KB,2021-12-17
1246,dpfn-5ihn,Parks Syringe Disposal Kiosks Map,161,7,"• One line of data represents single syringe collection kiosk location, its capacity, how it is mounted, and when it was installed. • Data is collected via an ArcGIS Online web application. • Data is updated as necessary as kiosks are installed, moved, or removed. However, there is a delay between these actions happening and when the data is updated to reflect them. • Only active kiosk locations are shown. Former kiosk locations have  been removed. • The installation date is known to be incomplete. Minor shifts in kiosk locations do not typically entail the creation of a new record, rather the point is simply moved. • Redundant values for the KioskType field have been removed.",Monthly,Department of Parks and Recreation (DPR),https://data.cityofnewyork.us/Public-Safety/Parks-Syringe-Disposal-Kiosks-Map/dpfn-5ihn,Public Safety,map,tabular,50.0,50 bytes,2021-12-08
1247,dpm2-m9mq,LPC Permit Application Information,1021,2072,Contains information pertaining to permit applications for work to landmark sites submitted to and processed by LPC.,Monthly,Landmarks Preservation Commission (LPC),https://data.cityofnewyork.us/Housing-Development/LPC-Permit-Application-Information/dpm2-m9mq,Housing & Development,dataset,tabular,119304162.0,119.3 MB,2021-12-11
1248,dq7m-xn5i,VZV_Hands-On Safety Demos,228,285,"Hands-on safety demonstrations are held in conjunction with local partners throughout New York City, bringing traffic safety education and assistance directly to the public. Events include car safety seat fittings, bicycle helmet fittings and giveaways, truck safety and car safety demonstrations, Vision Zero table seminars and DWI awareness events  For a complete list of Vision Zero maps, please follow <a href=""https://data.cityofnewyork.us/browse?q=vzv&sortBy=last_modified&utf8=%E2%9C%93"">this link</a>",Monthly,Department of Transportation (DOT),https://data.cityofnewyork.us/Transportation/VZV_Hands-On-Safety-Demos/dq7m-xn5i,Transportation,map,geo,236541.0,236.54 KB,2021-11-10
1250,dqsy-6vth,Department for the Aging  Reported Line Item Expenditures by Month of City Meals on Wheels Administration Contracted Providers,140,358,Reported Expenditures of Line Items by Month of registered and contracted agencies providing City Meals on Wheels Administration Services.,Monthly,Department for the Aging (DFTA),https://data.cityofnewyork.us/Social-Services/Department-for-the-Aging-DFTA-Reported-Line-Item-E/dqsy-6vth,Social Services,dataset,tabular,49266.0,49.27 KB,2021-10-28
1253,drss-6xix,Mayor's Office to Combat Domestic Violence Annual Fact Sheet,357,170,"The dataset contains annual count data for the number of intimate partner homicides, calls to the domestic violence hotline, total and borough counts for total and new client visits and by borough to the New York City Family Justice Centers and the number of trainings and workshops conducted by the Mayor's Office to Combat Domestic Violence Policy and Training Unit and the Healthy Relationship Academy.",One-time,Mayor's Office to End Domestic and Gender-Based Violence (ENDGBV),https://data.cityofnewyork.us/Public-Safety/Mayor-s-Office-to-Combat-Domestic-Violence-Annual-/drss-6xix,Public Safety,dataset,tabular,1008.0,1.01 KB,2020-03-09
1254,dsg6-ifza,DOHMH Childcare Center Inspections,15066,7449,"This dataset contains a list of all inspections conducted and any associated violations at active, city-regulated, center-based child care programs and summer camps over the past 3 years. The violations are pre-adjudicated. Violations that are subject to potential penalties (fines) are submitted to NYC Office of Administrative Trials and Hearing where they are adjudicated as either sustained/upheld or dismissed. The dataset also contains additional information on the programs, including license information. For more information on child care in NYC visit: https://www1.nyc.gov/site/doh/services/child-care.page. </p> <em>Note: Due to an ongoing upgrade, this dataset reflects data as of 5/14/2019. We will resume publishing updated data when the upgrade is completed. We apologize for any inconvenience.</em>",Daily,Department of Health and Mental Hygiene (DOHMH),https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,Health,dataset,tabular,14833844.0,14.83 MB,2021-12-16
1255,dsif-42wj,Suspension Report NYPD Contacts - ELL,76,46,Suspensions reported where NYPD was contacted for students who are English Language Learner's (ELL).,Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-Suspension-Report-NYPD-Contacts-ELL/dsif-42wj,Education,dataset,tabular,98653.0,98.65 KB,2020-11-16
1258,dt2z-amuf,Financial Empowerment Centers,3848,3069,"This is a list of the Department of Consumer Affairs, Office of Financial Empowerment Financial Empowerment Centers includes information on the provider, host site, address, hours of operations, languages spoken on-site, and more specific data about the location.",One-time,Department of Consumer Affairs (DCA),https://data.cityofnewyork.us/Business/Financial-Empowerment-Centers/dt2z-amuf,Business,dataset,tabular,7863.0,7.86 KB,2017-11-27
1260,dtfq-bfpc,NYS Math Test Results By Grade - Boro - By Gender,334,1483,"New York City Results on the New York State Mathematics Tests, Grades 3 - 8 Notes: As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7. In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006. Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2006-2011-NYS-Math-Test-Results-By-Grade-Boro-By-G/dtfq-bfpc,Education,dataset,tabular,33724.0,33.72 KB,2011-10-05
1261,dtmw-avzj,Capacity Projects in Process Site Locations,191,204,Capacity Projects in Process Site Locations,One-time,School Construction Authority (SCA),https://data.cityofnewyork.us/Education/Capacity-Projects-in-Process-Site-Locations/dtmw-avzj,Education,dataset,tabular,4834.0,4.83 KB,2021-04-26
1262,ducj-28wv,Math Test Results - District - SWD,363,1675,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by district and disability status.,One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2006-2012-Math-Test-Results-District-SWD/ducj-28wv,Education,dataset,tabular,210954.0,210.95 KB,2013-02-21
1263,dufe-vxb7,NYPD Use of Force: Subjects,149,58,"Dataset containing information related to non-NYPD Subjects involved in Force Incidents. </p>  The Threat, Resistance, or Injury (TRI) Report is the primary means by which the NYPD records use of force incidents. All reportable instances of force – whether used by a member of the Department, or against the member – are recorded on a TRI Report. Data provided here are a result of the information captured on TRI Reports.  Each record corresponds to a non-NYPD subject involved in a force incident.  The data can be used to explore the various categories of force incidents and when and in which precinct they occurred. For any given incident, there may be one or more members of service involved.  Since NYPD policy requires two-person patrols, most incidents will have at least two members. The data is used to populate the public facing Force Dashboard. (https://app.powerbigov.us/view?r=eyJrIjoiOGNhMjVhYTctMjk3Ny00MTZjLTliNDAtY2M2ZTQ5YWI3N2ViIiwidCI6IjJiOWY1N2ViLTc4ZDEtNDZmYi1iZTgzLWEyYWZkZDdjNjA0MyJ9).",Monthly,Police Department (NYPD),https://data.cityofnewyork.us/Public-Safety/NYPD-Use-of-Force-Subjects/dufe-vxb7,Public Safety,dataset,tabular,678195.0,678.2 KB,2021-10-20
1264,dv8j-yjt9,Demographic Snapshot by District,446,226,2014-15 to 2018-19 District Demographic Snapshot,One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2018-2019-Demographic-Snapshot-by-District/dv8j-yjt9,Education,dataset,tabular,35578.0,35.58 KB,2019-06-05
1265,dvaj-b7yx,Shelter Repair Scorecard,3456,2085,A list of all shelter buildings in the DHS system with the number of violations issued to that building.,Monthly,Department of Buildings (DOB),https://data.cityofnewyork.us/Social-Services/Shelter-Repair-Scorecard/dvaj-b7yx,Social Services,dataset,tabular,6018095.0,6.02 MB,2020-07-31
1267,dvzp-h4k9,DOF: Condominium Comparable Rental Income – Manhattan – FY /,2315,2322,"Condominiums and cooperatives are valued as if they were residential rental apartments. Income information from similar rental properties is applied to determine value. The Department of Finance (DOF) chooses similar properties to value condos and coops. Properties are selected based on a combination of factors such as: land location, income levels, building age and construction and exemptions and subsidies.",One-time,Department of Finance (DOF),https://data.cityofnewyork.us/Housing-Development/DOF-Condominium-Comparable-Rental-Income-Manhattan/dvzp-h4k9,Housing & Development,dataset,tabular,830819.0,830.82 KB,2017-09-11
1268,dw8c-pxy2,High School Progress Report,210,183,New York City Department of Education 2012 - 2013 High School Progress Report.,One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2012-2013-High-School-Progress-Report/dw8c-pxy2,Education,dataset,tabular,62014.0,62.01 KB,2019-04-18
1269,dwzs-n5b9,HRA Facts Rates,281,2405,HRA facts from the Office of Data Reporting and Analysis (ODRA),Monthly,Human Resources Administration (HRA),https://data.cityofnewyork.us/Social-Services/HRA-Facts-Rates/dwzs-n5b9,Social Services,dataset,tabular,11637.0,11.64 KB,2021-11-30
1270,dx8z-6nev,Donations to Not-for-Profit Organizations Affiliated with Elected Officials,730,392,"Donations to Not-for-Profit Organizations Affiliated with Elected Officials.  This data is collected pursuant to Chapter 9 of Title 3 of the New York City Administrative Code and the Rules of the Conflicts of Interest Board established thereto.  These laws require an affiliated organization to disclose all donations of $5,000 or more received by the organization within a calendar year.  The previous calendar year's donations must be reported to the Board by August 1.  The data is submitted through the Board's reporting portal and can be searched on that portal.  All information is presented as submitted by the affiliated organization and is not standardized or corrected by Conflicts of Interest Board staff.",Annually,Conflicts of Interest Board (COIB),https://data.cityofnewyork.us/City-Government/Donations-to-Not-for-Profit-Organizations-Affiliat/dx8z-6nev,City Government,dataset,tabular,208597.0,208.6 KB,2020-03-18
1271,dxnu-p2qd,"HIV/AIDS Diagnoses by Neighborhood, Age Group, and Race/Ethnicity",2123,1252,"These data were reported to the NYC DOHMH by June 30, 2014  This dataset includes data on new diagnoses of HIV and AIDS in NYC for the calendar years 2010 through 2013. Reported cases and case rates (per 100,000 population) are stratified by age group, race/ethnicity, and United Hospital Fund (UHF) neighborhood. For more information, please visit the HIV/AIDS Surveillance Data module on EpiQuery: nyc.gov/health/epiquery  Note:  - Rates marked ""NA"" cannot be calculated because the underlying population size is unknown.  - Tables or charts may contain suppressed data: cells representing 1-5 person(s) with an underlying denominator of <500 persons, or non-zero cells witha  denominator <=100 as per Intercensal 2014 estimates, are marked with an asterisk (*)",Annually,Department of Health and Mental Hygiene (DOHMH),https://data.cityofnewyork.us/Health/HIV-AIDS-Diagnoses-by-Neighborhood-Age-Group-and-R/dxnu-p2qd,Health,dataset,tabular,500389.0,500.39 KB,2017-05-08
1272,dxru-eun8,Storefront Registration Class 2 and 4 Statistics,4070,91,"Aggregate statistics for all registered storefront by identified geographic boundaries (Citywide, Borough, Council District, Census Tract)",Annually,Department of Finance (DOF),https://data.cityofnewyork.us/City-Government/Storefront-Registration-Class-2-and-4-Statistics/dxru-eun8,City Government,dataset,tabular,149964.0,149.96 KB,2021-12-03
1273,dy27-rrad,Community Board Contact List,602,206,This data set represents Community Board Contact List for all 18 Community Board within Brooklyn.,Annually,Brooklyn Borough President,https://data.cityofnewyork.us/City-Government/Community-Board-Contact-List/dy27-rrad,City Government,dataset,tabular,5227.0,5.23 KB,2019-11-25
1274,dy3p-ay2d,Office of The Comptroller: Police Retirement System Holdings Data,328,1333,This dataset sets forth the Police Retirement System holdings (both equity and fixed income) of the identified pension/retirement system as of the close of the fiscal year.,Annually,Office of the Comptroller,https://data.cityofnewyork.us/City-Government/Office-of-The-Comptroller-Police-Retirement-System/dy3p-ay2d,City Government,dataset,tabular,29682411.0,29.68 MB,2021-02-13
1277,dyta-z6sk,School Closure Discharge Report Citywide - Age/ELL/SWD/Gender/Grade/Ethnicity,77,32,"In June 2018, 10 New York City public schools were closed.  This report provides data regarding students enrolled in these schools during the 2017-18 school year, according to the guidelines set by Local Law 2011/043",Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-School-Closure-Discharge-Report-Citywide/dyta-z6sk,Education,dataset,tabular,21846.0,21.85 KB,2020-12-22
1278,dze7-citg,NYC Free Tax Prep Sites Map,919,68,"This dataset provides a machine-readable format for the data that populates the ""NYC Free Tax Preparation Site Finder"" map hosted on DCA's website.  The dataset includes the name and address of the service provider, its hours of operation, services available, and required geo-spacial data elements used by the map.  DCA's Office of Financial Empowerment (OFE) DCA coordinates the City’s Annual Tax Season Initiative which offers free tax preparation services to qualifying New Yorkers. NYC Free Tax Prep sites are displayed on a map at nyc.gov/taxprep (https://www1.nyc.gov/assets/dca/TaxMap/index.html)  The map is updated whenever a new site is added or an existing site changes its hours of operation or services provided.  For more information about Free Tax Preparation Sties visit the DCA website (https://www1.nyc.gov/site/dca/consumers/file-your-taxes-faqs.page).",Daily,Department of Consumer Affairs (DCA),https://data.cityofnewyork.us/Business/NYC-Free-Tax-Prep-Sites-Map/dze7-citg,Business,map,tabular,106963.0,106.96 KB,2019-07-24
1279,dzgh-ja44,Projects in Construction Map,56822,3835,<b>Current report not available pending SCA program On Pause.</b> New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.,One-time,School Construction Authority (SCA),https://data.cityofnewyork.us/Housing-Development/Projects-in-Construction-Map/dzgh-ja44,Housing & Development,map,tabular,1194382.0,1.19 MB,2021-11-10
1281,e25p-jzfy,Asset Management Parks System  – Assets,734,1209,"This table contains information about objects that work orders can be written to. Examples of objects types include pieces of equipment, buildings, parks, maintenance districts, and boroughs. Each record has specific information about that object. The primary key is OBJ_CODE.   For the User Guide, please follow <a href=""https://docs.google.com/document/d/1UwyGGncb6oFMiOfgz73G-iM8Yea9ubz4931hPeBO9YQ/edit?usp=sharing"">this link</a> For the Data Dictionary, please follow <a href=""https://docs.google.com/spreadsheets/d/1pDr-BUe4LS7DvATfbOnd8UrV6s77krJgzqdq_gVYWqc/edit?usp=sharing"">this link </a>",One-time,Department of Parks and Recreation (DPR),https://data.cityofnewyork.us/City-Government/Asset-Management-Parks-System-AMPS-Assets/e25p-jzfy,City Government,dataset,tabular,22720601.0,22.72 MB,2021-12-13
1282,e266-vpg7,Directory Of New York City Police Pension Fund Financial Reports,1341,1542,Details about NYC Police Pension Fund Financial Reports and the link to those documents,Annually,Police Pension Fund (NYCPPF),https://data.cityofnewyork.us/Business/Directory-Of-New-York-City-Police-Pension-Fund-Fin/e266-vpg7,Business,dataset,tabular,1290.0,1.29 KB,2013-06-21
1283,e27m-uhjk,Banking Corporation Issuer's Allocation Percentage Report,649,456,"Issuer's Allocation Percentage for all corporations subject to taxes.  These reports are used by general corporations and unincorporated taxpayers to compute their investment allocation percentages, and by general corporation taxpayers to compute their allocated subsidiary capital. For 2006 and prior, the list include only corporations whose issuer's allocation percentages are known to be less than 100%. For 2007 and later, the lists include corporations whose issuer's allocation percentages are 100% or less.",One-time,Department of Finance (DOF),https://data.cityofnewyork.us/City-Government/Banking-Corporation-Issuer-s-Allocation-Percentage/e27m-uhjk,City Government,dataset,tabular,108684.0,108.68 KB,2019-10-31
1286,e2gu-mjqa,Graduation Rates Public School - APM,369,386,"The New York State calculation method was first adopted for the Cohort of 2001 (Class 2005). The cohort consists of al students who first entered 9th grade in a given school year (e.g., the cohort of 2006 entered 9th grade in 2006-2007 school year). Graduates are defined as those students earning either a local or regents diploma and exclude those earning either a special education (IEP) diploma for GED.  ""The NYSED defined English/Math Aspirational Performance Measure (APM) is the ercentage of students that after their fourth year in high school have met NYSED standards:   Graduated by August with a Regents or Local diploma, AND   Earned a 75 or higher on the English Regents, AND   Earned an 80 or higher on one Math Regents."" In order to comply with FERPA regulations on public reporting of education outcomes, rows with a cohort of 20 or fewer students are suppressed. Due to small number of students identified as Native American or Multi-Racial these ethnicities are not reported on the Ethnicity tab, however these students are included in the counts on all other tabs.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2005-2015-Graduation-Rates-Public-School-APM/e2gu-mjqa,Education,dataset,tabular,205610.0,205.61 KB,2019-04-23
1289,e34y-fjmv,Department for the Aging  Home Delivered Meals Contracted Providers,757,908,Listing of registered and contracted agencies providing Senior Center Services with hours of operation,Monthly,Department for the Aging (DFTA),https://data.cityofnewyork.us/Social-Services/Department-for-the-Aging-DFTA-Home-Delivered-Meals/e34y-fjmv,Social Services,dataset,tabular,8539.0,8.54 KB,2021-08-15
1290,e3qr-idgg,For Local Law 19 - Annual Report DHS Shelter,369,91,"DHS shelter buildings and types in NYC boroughs.  For Local Law 19 of 1999 Report - Monthly Placements, follow this <a href=""https://data.cityofnewyork.us/Social-Services/Local-Law-19-of-1999-Report-Monthly-Placements/5284-7vfz"">link</a>. For Local Law 19 of 1999 - Quarterly Unsheltered Street Homeless Individuals, follow this <a href=""https://data.cityofnewyork.us/Social-Services/Local-Law-19-of-1999-Report-Quarterly-Unsheltered-/7tu6-bcih"">link</a>.",Annually,Department of Homeless Services (DHS),https://data.cityofnewyork.us/Social-Services/For-Local-Law-19-Annual-Report-DHS-Shelter/e3qr-idgg,Social Services,dataset,tabular,7583.0,7.58 KB,2021-06-01
1292,e3xf-jwmj,Watershed Water Quality - Hydrology,152,40,Routine stream monitoring results from 1987-Present.,Annually,Department of Environmental Protection (DEP),https://data.cityofnewyork.us/Environment/Watershed-Water-Quality-Hydrology/e3xf-jwmj,Environment,dataset,tabular,116648025.0,116.65 MB,2021-08-30
1293,e4ej-j6hn,Directory of Accessible Parks Facilities and Programs,2397,2588,Recreational facilities in New York City Department of Parks & Recreation properties that are accessible to the disabled.,One-time,Department of Parks and Recreation (DPR),https://data.cityofnewyork.us/Recreation/Directory-of-Accessible-Parks-Facilities-and-Progr/e4ej-j6hn,Recreation,dataset,tabular,53010.0,53.01 KB,2013-06-26
1294,e4p3-6ecr,Expense Financial Plan - Adpt\Prel,436,841,"This dataset contains agency summary level data for PS, OTPS and Total by type of funds.  The dollar amount fields are rounded to the thousands. The Adopted and Preliminary reports,  published by July 1 and January or February respectively,  contain the current fiscal year plus four out years of data which  coincide with the release of the published financial plan.",Annually,Mayor's Office of Management and Budget (OMB),https://data.cityofnewyork.us/City-Government/Expense-Financial-Plan-Adpt-Prel/e4p3-6ecr,City Government,dataset,tabular,2595207.0,2.6 MB,2021-07-07
1296,e4ty-r26d,Local Law 37 - HRA Report,1102,578,"Individuals and families placed in temporary emergency housing during crisis or illness pursuant to Local Law 37.  For DYCD Report please follow <a href=""https://data.cityofnewyork.us/Social-Services/Local-Law-37-of-2011-DYCD/2232-dj5q"">this link</a>. For HPD Report please follow <a href=""https://data.cityofnewyork.us/Housing-Development/Local-Law-37-HPD-Monthly-Shelter-Census-Report/mdht-5s6e"">this link</a>. For DHS Report please follow <a href=""https://data.cityofnewyork.us/Social-Services/Local-Law-37-Report/2mqz-v5im""> this link</a>.",Monthly,Human Resources Administration (HRA),https://data.cityofnewyork.us/Social-Services/Local-Law-37-HRA-Report/e4ty-r26d,Social Services,dataset,tabular,23295.0,23.3 KB,2021-12-15
1298,e555-uc5w,D75 Progress Reports,149,155,New York City Department of Education 2012 - 2013 D75 Progress Reports,One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2012-2013-D75-Progress-Reports/e555-uc5w,Education,dataset,tabular,10913.0,10.91 KB,2019-04-18
1299,e635-qjv5,Department for the Aging  Reported Line Item Expenditures by Month of Homecare Contracted Providers,101,367,Reported Expenditures of Line Items by Month of registered and contracted agencies providing Homecare Services.,Monthly,Department for the Aging (DFTA),https://data.cityofnewyork.us/Social-Services/Department-for-the-Aging-DFTA-Reported-Line-Item-E/e635-qjv5,Social Services,dataset,tabular,84713.0,84.71 KB,2020-10-28
1300,e649-r223,Statistical Forecasting Demographic Projection Report - Enrollment Projections - New York City Public Schools,1847,2434,"Demographic projections performed by the Statistics Forecasting for elementary, middle and high school level students.",Annually,School Construction Authority (SCA),https://data.cityofnewyork.us/Education/Statistical-Forecasting-Demographic-Projection-Rep/e649-r223,Education,dataset,tabular,89601.0,89.6 KB,2019-03-14
1301,e64w-ctmw,Financial Plan Baseline & Initiatives By Funding,836,1135,This dataset contains information about financial plan initiatives amounts applied during a financial plan period.  The dollar amounts are rounded to thousands.  Data is updated after most financial plans.,One-time,Other,https://data.cityofnewyork.us/City-Government/Financial-Plan-Baseline-Initiatives-By-Funding/e64w-ctmw,City Government,dataset,tabular,1818044.0,1.82 MB,2021-12-08
